group,field,units,description,dimensions,,,new_name,,CHANGED,changed in code and .csv
corrected_h,ref_pt_lat,degrees North,,N_pts,,,latitude,,Y,Y
corrected_h,ref_pt_lon,degrees East,,N_pts,,,longitude,,Y,Y
corrected_h,ref_pt_number,counts,,N_pts,,,ref_pt,,Y,Y
corrected_h,mean_cycle_time,seconds,,"N_pts, N_cycles",,,delta_time,,Y,Y
corrected_h,cycle_h_shapecorr,meters,,"N_pts, N_cycles",,,h_corr,,Y,Y
corrected_h,cycle_h_shapecorr_sigma,meters,,"N_pts, N_cycles",,,h_corr_sigma,,Y,Y
corrected_h,cycle_h_shapecorr_sigma_systematic,meters,,"N_pts, N_cycles",,,h_corr_sigma_systematic,,Y,Y
corrected_h,quality_summary,counts,,"N_pts, N_cycles",,,quality_summary,,N,
ref_surf,complex_surface_flag,counts,,N_pts,,,complex_surface_flag,,N,
ref_surf,fit_curvature,counts,,N_pts,,,curvature,,Y,Y
ref_surf,fit_E_slope,counts,,N_pts,,,e_slope,,Y,Y
ref_surf,fit_N_slope,counts,,N_pts,,,n_slope,,Y,Y
ref_surf,n_deg_x,counts,,N_pts,,,deg_x,,Y,Y
ref_surf,n_deg_y,counts,,N_pts,,,deg_y,,Y,Y
ref_surf,N_cycle_avail,counts,,N_pts,,,DELETE (not yet in ATL11 repo),,Y,still in code and .csv
ref_surf,N_cycle_used,counts,,N_pts,,,DELETE (not yet in ATL11 repo),,Y,still in code and .csv
ref_surf,poly_coeffs,counts,,"N_pts, N_coeffs",,,poly_coeffs,,N,
ref_surf,poly_coeffs_sigma,counts,,"N_pts, N_coeffs",,,poly_coeffs_sigma,,N,
ref_surf,ref_pt_number,counts,,N_pts,,,ref_pt,,Y,Y
ref_surf,ref_pt_x_atc,meters,,N_pts,,,x_atc,,Y,Y
ref_surf,ref_pt_y_atc,meters,,N_pts,,,y_atc,,Y,Y
ref_surf,rgt_azimuth,degrees,,N_pts,,,rgt_azimuth,,N,
ref_surf,slope_change_rate_x,years^-1,,N_pts,,,slope_change_rate_x,,N,
ref_surf,slope_change_rate_y,years^-1,,N_pts,,,slope_change_rate_y,,N,
ref_surf,slope_change_rate_x_sigma,years^-1,,N_pts,,,slope_change_rate_x_sigma,,N,
ref_surf,slope_change_rate_y_sigma,years^-1,,N_pts,,,slope_change_rate_y_sigma,,N,
ref_surf,surf_fit_misfit_chi2r,meters,,N_pts,,,misfit_chi2r,,Y,Y
,surf_fit_misfit_chi2,,,,,,misfit_chi2,,Y,Y
ref_surf,surf_fit_misfit_RMS,meters,,N_pts,,,misfit_RMS,,Y,Y
ref_surf,surf_fit_quality_summary,counts,,N_pts,,,quality_summary,,Y,Y
,,,,,,,,,,
cycle_stats,ATL06_summary_zero_count,counts,,"N_pts, N_cycles",,,ATL06_summary_zero_count,,N,
cycle_stats,h_robust_sprd_mean,meters,,"N_pts, N_cycles",,,h_robust_sprd,,Y,Y
cycle_stats,h_rms_misfit_mean,meters,,"N_pts, N_cycles",,,DELETE,,Y,still in .csv
cycle_stats,r_eff_mean,counts,,"N_pts, N_cycles",,,r_eff,,Y,Y
cycle_stats,tide_ocean_mean,meters,,"N_pts, N_cycles",,,tide_ocean,,Y,Y
cycle_stats,cloud_flg_atm_best,counts,,"N_pts, N_cycles",,,cloud_flg_atm,,Y,Y
cycle_stats,cloud_flg_asr_best,counts,,"N_pts, N_cycles",,,cloud_flag_asr,,Y,Y
